,post
5567,950 000 waiting deportation deport them what we waiting for and go after the others where are new judges to speed up
4538,more poor uneducated to house clothe educate and feed america is going bankrupt feeding the world
822,i thought you were jewish  not white 
389,black  hispanic  gay  trans  asian  not a white student union  its why conservatism is useless  they watched as the left destroyed whiteness
1096,only in america can a muslim bonnie and clyde terrorist team kill and the white man gets blamed for it 
5914,I had some Muslim Fried Chicken the other day It was exploding with flavour
4164,cnn will find and interview the one tranny in history that was inconvenienced
4017,you set the rules of engagement  i met them  yes i believe my charity is better because it helps human beings without prejudice  i  e  is a white supremacy organization  not a white equality organization 
1193,bible  do not kill  fullstop   islam  do not kill the unjustly   
2612,germany  nonwhite in one generation swrm via
5534,also charge mexico for all legal  imprisonment costs including transportation back to mexico why are us citizens on the hook for any 
230, only in the land of the  cough  free   lol wake up white man  white students suspended for wearing white to school 
3593,white genocide accelerates in france  at least 1 in 3 newborns are nonwhite via
5531,bullets are cheaper than trials or housing him for a day
1506,so you believe it is wrong for a white man to defend his own race  do you believe that it i
4040, uk  muslim parents planned   trojan horse   strategy to oust nonmuslim headteachers and turn schools into muslim 
3894,i have lived this a know what is instore for all whites  ive seen our woman raped and brothers beat with 2x4s  blacks and browns hate us 
383,anglin has provided a platform for dehumanizing white women and his fan
3639,freedom justice nice  all whites must become activists for the white race in any way they can  esp politically 
3991,uk  racist black man punches pregnant white girl in stomach as onlookers watch via
2865,hey everybody  i encourage you to follow the only voice of truth these days nationalsocialism
267,hey robert  if the thesis of your book d  m  e is on to something  then this shakes islam at its very foundations  am i right 
413,good to see the former executive director of the south carolina republican party out in support of the confederateflag infowars
1925, rt good luck  they all vehemently and actively oppose the concept of white nations  its   racist   
2896,lol  you will learn what it means to be white and proud of your race  or be jooish and face the consequences 
5770,Has that frickin boon doggle Obama been arrested yet
2916,rankin and madison counties are the recipients of white flight from hinds county  they are the places to be now
3762,rt our great white race is coming back 2 life and does not like what we all see in america  sieg heil  workingclass
4173,your a race hustler just like ya boy al sharpton you are flat out ignorant
5500,the katesteinle verdict must galvanize us report all known and suspected illegals to ice by calling 8663472423 or online link   i even reported a coworker of mine tonight we must show them no mercy like they showed kate
703,white power and proud   
5742,Fun fact normies Nicolas Maduro is an ethnic Jew So was Fidel Castro So were Maos and Stalins top advisers and financiers So were the Bolsheviks So were the heads of the communist party in Wiemar Germany So is Bernie Sanders MondayMotivation RemoveTheJews
2675,nice to know we are together in our fight  all white people
2173,it may be stigmatized  but it is real  the us flag is losing relevance for all us whites  one knee at a time 
334,what could people in disagreement with national socialism possibly be missing  murderous thuggery  we got it  individ liberty is best 
1754, whats even more disgusting is that if you give in to their agenda as a white person your   white privilege   is excused d 
1370, rt uk video    youre a jew  not a muslim  jew  jew  jew run    islam islamophobia tcot antimuslim 
5175,boots on the ground is a must rt stopislam makedclisten
1160,will in the first step to action  but youre right  strong action will be necessary to save europe for the white race 
6281,Wow look at all these black kids Hey I bet they all have the same dad All black people are totally related
3770,sweden was too white and it has taken on  worse  immigrants than america 
5822,Whats the difference between a woman and a car crash A car crash wont kill you slowly
3454,adolf hitler  a short  nice video of our aryan hero  courage genius integrity honor
946, deadly syllables  mc  mccaskill  loon who enjoys her   love pat for the day from the tsa   kill  illegals thrive  kill in cities 
4880,why do radicals antifa  isis dress up like silly sissyassninjas hard to take them serious when they dress like holloween 4 year olds
1464,inb 4 its ok to be white as long as youre also fine with anti white policies that displace whites
735, rt    twenty gypsies attack white couple in czech republic hate crime mob attack  video  via 
1353,    jews outraged over diversity is white genocide banner in australia  more     
3985,this pope surrenders christianity to islam  jesus said love is the most important  i dont think annih
4278,hunger in us  like third world  not even beef and bread  maga 
4830,i got a good one for them pack there bags and send them home notice they always wave mexican flags not ameeican
4769,no this is not a fabric store these are female human beings indoctrinated and forced by a misogynist religion to live a life of slavery
1481,more than half of french population terrified of being killed in isis attack
4165,deportable illegals what every illegal alien parasite in the usa are deportable illegal aliens
4281,allah is certainly not our christian god its the name for what early arabs called a lesser desert breeze
2529, rt   hutterites are a white anabaptist group that originated in austria in the 16th century   they are examples of the peaceful  idyllic life that allwhite communities can create for themselves     walter 
985,60  of america is white which also includes jews and terrorists
5136,cut daca now or we will be stuck with them forever
2063,what does she mean  she is white  they hate white ppl  they hate themselves  why would you reproduce mo
3958,switzerland  africans kill elderly white man then start screaming about racism swrm via
2898,maybe feminists who hate men  want to blame the white race for everything wrong 
3677,being racist and being aware of a race problem are different things  i dont hate a race  i just love mine  we have a racial invasion here 
2727,they sent the europeans to america to do all the things isis is doing  to demonize white people and christianity
1803,hate  have you heard of white slave trade in israel 
1772,all white people should be afraid and and all white cops should quit
4956,hate hikes are encouraged hiking with a weighted pack is even better
3935,nonwhite invasion of italy  african migrants have seized 100 buildings in rome via
5913,Whats a 1000 meters long and has an IQ of 68 A black lives matter parade
4214,notice they all look like grown men not helpless women an children
4974,are you ready to be waterboarded yet sean still waiting
3489,german gangs are beating up immigrants after syrian refugees sexually assault 
2168,if other races can have selfcare whites can too 
3626, lol we are doomed  saying your proud to be white is   racist   lolololol what if you say proud to be black  or asian  or gay  just lol 
2631,in america today its like its a bad thing to be white and proud 
6057,Special ed classes are superior to the rest in at least one thing Chromosome average
4002,white genocide  whitepeople whitepride racism
4751,no shit everythings bout muslims lately maybe they should stay over there if they dont like my tatas n beer fm
1067,its amazing how whites advocating for their own people offends others so much  they cant help but reveal their antiwhite racism when confronted with the fact that the white race has the right to exist 
5429,show me your tribal id card or selfdeport out of my tl
4994,poison ivy league schools higher macademia bunch of nuts letem sponsor unvetted from 7 terror nations
340,white race rapidly fading in europe since muslims keep pregnant over 10 wives until menu
941, 1   semantics  ill change my wording to   whites lost power   2   why is constantinople called istanbul now  3   this is literally just a lie 
3618,   we the people     most  cease talking     walk the walk    americas time line is shortening w the infiltration of jihad  
3746,no race can love itself as much as the white race can 
5839,What did the black blind deaf and mute kid get for christmas Aids
4577,they are clearly so intellectually superior that they need to up the difficulty via new demographics hold my ros pierre i got this
5157,better to just cut the jihadists down
738, rt    i want to do jihad  it is written in the koran that you are allowed to kill infidels as you would kill a dog    
4029, rt egypt democracy lovers shouted   jew  jew    during their sexual assault islam islamophobia 
4309,its everywhere doc to introduce electronicmonitoring program to help overpopulation problem toomanypeople
1896,white pride worldwide hooded sweatshirt very via
5885,My girlfriend broke up with me for stealing her wheelchair  I know shell come crawling back eventually
3756,people are getting more tribal and racially aware every day  mainly due to leftists going allout antiwhite  and prowhitegenocide  thus 
5832,Whats worse than a Jason Aldean concert Being black
499,white column is meaningless if jews are included  they need their own column 
6205,what is the usual woman s response to a black guy s pickup line  rape  allcaps
704,white power forever  white people rules forever and the whites will rule againall hail the aryans  whiteshail and so on  others 
4973,shhhhes a target for the liberals and illegals nowdont malign the holy dacas a group of 2536 yr old pure baby angelswe should give
5493,so well done you stupid fucks youve made it a war now and you will lose
3362,they say they are antiracist  but what they really are is antiwhite   more  via
2834,any other good jokes gop teaparty kkk
1223,because christ is an existential threat to their traditions of men 
5179,then raise taxes on the rich demsrepubs in congress who vote for this no healthcare for illegals
4051,a giant menorah can be placed on the white house lawn  but theres no room for a nativity scene there  such a sad reality 
5389,aside from being an habitual drunkard hes a habitual illegal shouldnt have a licence to begin with tattohisass  send him back maga
892,they are implicit in this and wont even acknowledge it for what it is  an antiwhite hate crime
3873,david lane  open letter to the dead white race via rt
2969,white pride world wide
4126,they hate white people alex  and nobody hates them more than the people who look like the cast of seinfeld  tell your viewers 
974,whitegenocide  white revolution is the only solution standupwhiteman 14words
1198,2018  im white 2019  im white and im not apologizing 2020  we are white and not sorry
207, rt   it has finally hit them like a 2x4 between the eyes that white america is not the dying corpse they assumed it to be     rocky suhayda 
5924,What do you get when throw a Molotov cocktail into a gay pride parade An LGBTQBBQ
2777,will incessantly talk about evil white people and  or have no problem focusing on the race of nonwhites in a positive way 
2668,muslims attack  a common theme around the world  
2472,via white privilege conference says resisting jihad terror is racist  bashes robert  catholic
219,macon ga  macons mlk drive ebt marts are wrapped in antitheft caging  and tacky  yellow antitheft cages at that 
94,is white nationalism an adl honey pot front 
1573, look into affirmative action  its straightforward antiwhite discrimination  then look at brazil  thats your   race blind   future  
883,the only race the media disparages is the white race  they would never say this about any other race  therefore they are antiwhite 
1179, rt   we have the highest number of illegal aliens in custody in history    mexico buildthewall invasion wpww 
627,it is never about color  are u wht  paint ur skin  are u still white 
4451,ebola virus  what it does to its host  is a perfect analogy for what mass imigration does to a country
2302, rt that would include blackwhite  latinowhite  native americanwhite   supremacist   etc  the dems argument is losing power  bc we r winning maga 
3834, i say good for them  they want black roommates  we want white roommates  hail nationalism 
5289,i promise you no kates law no wall no daca
2905,no youre not white  because youre jewish  jews aint white 
1622,can i join if im black but on the inside white 
927,yes  honestly non white immigration is a threat to destroy the west b  c it will forever change the culture and way of life westerners enjoy 
1892,white men built america  western civilization is the best 
1493,pass it and let barry show he stands for illegals vs  legal americans  then override his veto 
4181,only 3 years subverting the immigration laws how is he different than the coyotes bring in illegals from the south
3057,but but surely its only them evil whities who enslaved people 
4766,yeah release them so when their deportation hearing happens in 2021 theyll have 5 usborn kids by then
5134,stop illegal immigrants from voting
5898,I have blue eyes I got them from my dad My mum has black eyes  She also got them from my dad
694,whats the deal  is it wrong now to be superior and white 
251,confederate heritage is white american history 
2286, gotta be a lame joke  like   nonviolent jihad    oxymoron  is okay  
2672,nationalism is all well  good in israel  yet jews demand open borders  forced multiculturalism  etc in the west hypocrisymuch
6135,i ca nt wait for harriet tubman to be on the  number bill i can finally use black people as currency again 
6078,Yeah child labor IS illegal Unless you mean women plaster_cole Girls should not be allowed to be commentators for football games
5228,fucking pay to send their ass back to where they came from give to the veterans
862,ot god says jews r my chosen allah says last days trees cry muslim a jew is hiding behind me come kill him 
5506,we dont need their permission 2 take their ppl back bring 2 border  throw them back enough of this being civil 2 uncivilized countries
4687,they may have not taken gender study classes but at least they work  know which bathroom to use
4539,coming to america soon feral muslims and nogo zones
5022,i just hope native europeans take a que from israel and start cooking piggies hot and hard b4 its too late pussy eu
3680,black celebrities who belong to 5  er antiwhite race war cult swrm black racists via
1804,hate is from radical islamic jihadists  look at the eu  y kill men women and children all innocents
6000,What do you do when you see a black guy on stage You raise your hand to bid on him
2600,eh no  white westerners are the only reason israel can exist  fuc
3049,beautiful  go white men  go   
5319,a long time ago it used 2b this way we didnt allow ppl in who didnt have something 2offer us
319,there is no intelligent opposition to white ethnopatriotism 
294,originator of the white genocide mantra will be hosting a discussion on white genocide  please rt 
234,african immigrant threatening a frightened native italian woman
2030,slaves to rich leftists 2014  the liberal left is always bashing white southerners and all white people for su 
4134,what say you   on point about so much  but  demographics  white identity  aj keeps on shilling for jews though 
1460,if we dont let muslims into america  theyll kill us  why would we want ppl who say theyll kill us to come here 
4743,not on pork or choking on their salivas
3079,hispanic assimilation has failed rt tcot tlot teaparty ocra ampat
2348,but that wouldnt enable them to destroy white neighbourhoods 
3411,your right the money yhey take from america and send it back to mexico helps yhem grow there economy
3076,heimbach doesnt advocate for whites  he works with the jew media to attack white identity  why do you hate white people 
3181,who cares to wager that will attack tonight because they dont hate white kids  charlestonshooting charlestonstrong
1297,racist test for asians  tell them their daughters seeing a black  white man and see what follows 
1093,oh yeah while some altright cuck says  staahpp  we supp
1810,i just love your silly nonsense defense of islam  isis is bad  sorry 
3841, coming 2 america  every 48 seconds a white woman or girl is raped by muslims in europe
2986,  australia returns nonwhite invaders to sri lanka  jewish   human rights   groups flip out 
4282,no does round them up and drop there tb infected asses at obamas new home and homes of hollywood celebs
4003,white aryan resistens
1476,look  as long as you goys dont point out that jews get zionism  israel  and we suppress white nationa
5376,stop bringing in more refugeeslet them stay i their own counties  deal with their problems there  send the ones who are here back to where they came from
835,islam is not of this time and must be forbidden for neing against humanity 
5618,the us  mexican governments should build joint prison facilities along the border to house these repeat criminals release to mx after
1018,because they hate us  because they cant have one  because black is beautiful  tan is grand  but white is the color of the big boss man 
4218,noyou are saying those who studiedworked hard to enter usa legally are not only dumb but stupid2cheats will be rewarded with citizenship
2157,i have seen this woman on youtube she is fantastic and so knowledgeable on muslim history and their infestation of the western world
5233,we really dont care about offending you foolsjust stay there an slaughter eachotherfuqin animals
5502,enact tough everify fine the hell out of businesses caught willegalaliens deportthemall jobs
44, hey watch this  leftism  enabling islamists since times before crusades  historyrepeats
6045,Did they try turning Stephen Hawking off and on again
2098, nice  kill white people  wowlots of love blacklivesmatterseattle    we need to start killing people   via 
2694,real quotes from antiwhite globalist jew
2415,mus bro pushes  canada submits  dont folks get that the mere existence of infidels offends islam 
4025, jewish rabbi lies about henry ford  father coughlin exposes liars    war mongers  international bankers    
2720,the only identity they fear is white identity 
2953,we either have laws or we dont  your here legally or not  its black and white  illegals are illegal 
5545,send them to hawaii they clearly want them
6315,The Jews use to laugh They thought it was just a joke Theyre not laughing now  Adolf Hitler
4468,like dogs that will always return to eat youre own vomit and like a pig that was washed clean will always
683,they want it called a hate incident so they can imply white trump supporters did it  cair is an antius hate organization 
962, rt nuance and objectivity  sounds like youre   enabling white supremacy   mr  weigel  try hysteria and distortion  
1694,the chicoms seemily care more about their peoples wellbeing than european nations about their own  bizarre 
4591,educated and informed people have warned of this why are we still importing them they can not be happy in the 21st century
6014,Where could you find a quadriplegic Where you left him
2978,yes  we are the ruling race  white and black is none of our business  only aryans are invited
524, glaciers  nordic women  peace and prosperity  libs tell me a white ethnostate is   racist    so what  
2403,jews reveal their vitriolic hatred of the white race after charlottesville unitetheright the realist report
1826,know  what modi ji has done for hindus so far    1  more than 30000 ngos are banned which causes christian 
2332,allah of the muslims is not my allah 
4395,a great candidate for the pine box deportation method guaranteed to prevent recidivism
2747,war afoot now  rampantblack terrorism targeting whites 
178,white welcome aboard  glad to have you
346,yes  vox wrote the book  its very good and explicitly prowhite  and critical of israel   embraces white identity politics 
807,great job white nationalism 
3531,nope the uk im from was all white different sub groups of white but still homogenous white are achievements are white 
5391,no u must meet rules to get valid ssn or itin deport all illegals period
1544,when white people accuse other white people of being white  the most bizarre form of intolerance and racism 
3564,they might be human beings  but they aint pure white 
3153,voted to avoid pointless wars and third world immigration  got pointless wars and more third world immigration 
3165,white genocide is the program 
166,what you call white supremacy is actually white competency
5566,defund the israeli welfare state and fully fund the wall 38 billion americafirst
3244,are you against the preservation of white majorities  how does the perpetuation of a race negatively impact you 
5611,mo this is why yall need to draintheswamp by voting claire out  is running for us senate check him out mosen ap4senate fireclaire
3218, these cucks would rather be raped with knives than to be called   racist    they deserve what they get  
4599,you go back to your sand barbarians
3937,now that official position of dem party is  white lives do not matter  couldnt the gop reach out to white voters 
3820, a racist org like is breath of fresh air  in a time when most are afraid to use the word   racist    she did  
979, why  muslims cant be white  what race is the jihad massacre of innocent civilians again  i keep forgetting 
4060,blacks in us literally take more then they give back  your people are taking white tax dollars  complaining that its still not enough
3207, radical muslims will try to kill you    moderate   muslims try to kill your culture  that is jihad  
6220,Old woman Schools shouldnt offer free lunches to kids since that means their parents just take advantage and dont bother trying to find jobs to support their kids Me So you think we should allow kids to starve Womans husband You see myname if you give them handouts these people dont work When I got out of high school if you wanted to eat you had to find a job Nobody has any work ethic anymore At a party Made me feel like I was talking to a compassionless brick wall
2049,theyre coming to america for whatever their reasons are  but theyre changing the west  whites are becoming unwelcome in their own lands 
19,   what our bros  sis experiencing in me  what is coming for us in west  must rise up and awaken    bgun 
1168,zoe why are the muslims not being deported 
2517, i am an immigrant  vickie  i dont see   white christian   males as a threat  you  however  are blinded by ignorance  hate  sucks to be you  
1365, im not antisemitic  i support palestinians  faux polish jews that immigrated to palestine arent semites  you know  the jew   refugees    
6150,what is ironic about the lgbt allcaps flag  all the colors are straight 
5325,plea to america melt congressional phones kill executive amnesty
5805,I have a black man in my family tree Hes still hanging there
5487,people get on the horn  call the senate now to stop this big govt dysfunction called amnesty time is running out call now 2022243121
4359,no more scum no benefits no welfare no social security no sanctuary cities no stupidity go home and make your country a great place
5321,use daca as a bargaining chip to massively reduce immigration end chain migration enforce everify and reform refugee resettlement
1032,even when the criminals are white their black
3211, rt   diversity    nonwhite    white supremacist    not antiwhite  
2141,cause  effect reversed  white people made their space the best place to live 
4999,gross bastards id say go back to your own country but we accidentally inbred you here yuck
5278,kill him run him over with a car
4112,she didnt  feel a sense of selfworth  she didnt deserve to die for that  but she fits the white antiwhite profile 
5761,Mandela had praised heap upon him when in fact he was a lying ass black communist South African screwed up by not killing the SOB when they had the chance to do it while he was incarcerated Mexico kills people all the time White South Africans were trying to be nice to piece of shit Look at what is happening to them now Lessons learned and not to be repeated right white South Africans
3610,yes  white gentiles address the jews no 1 enemy for sure  especially the white males  jews hate us
2895,like hitler said   sin against the blood is the original sin  and an end to the humanity which suffers from it  
3792,when we reach critical mass white people wont care what label media throws at a white revolution  we will 
193,youd think a jew would be more sensitive about people getting gassed 
2454,the jews again  jew hate is prevalent in muslim communities 
4513,heaven forbid we have strict immigration laws like japan send them all here with our open
2361,do you want white people to die out 
4140,white survival
3611,yes white people need more tribalism  it will be needed today for survival 
3320,muslim who slashed ny cop w  cleaver deemed not a terror threat after  by via
1474,jihad  story of white slavery
4381,we as americans best wake the frack up this is against our constitution and our morality these people are animals and should be treated as
4415,n destroyed by greedy barbarians from ur culture while ur society dies bc of its debauchery our society was attacked by virus no be gone
3021,  ows no wonder the anp endorses you  proves u believe in the jew conspiracyif you actually look into it  
138,stop whitegenocide protect white children 
5819,Wanna hear the biggest lie Men and women deserve equal rights
2952,wants america white again w  white supremacist support  refuses 2 disavow trump 4 klan  16
4902,thank god we are indiansif we were in pakistanour options for professional courses after xiith would be as followskashmirrejectspak
4053,adolf hitler  jews can never rule the world unless they bastardize the white european races
5317,if you dont like what we tell you to believe in well kill ya
1723,white european ancestors have been proven to be in america before your ancestors arrived here  new scientific proof  read up on it 
6344,Another advantage of being a female getting by with your looks
4737,out those dunces
839,its about erasing white people
3390,white power 
6086,Turn up your hearing aid A thought C_tWINO Im not sexist but its nearly impossible to listen to a girl talking about football on ESPN
1127,they owe us  not  we owe them  amnesty legislation should include  not on govtsubsistence  an established job where taxes are paid  not a participant in antifa demonstrations for communism  speak english 
4744,right so lets outlaw it so women still cloths hooks up their snatch instead
361,1  the white race isnt going anywhere  most people of every race would rather be with someone similar to themselves  whitepeople
4347,one man many wives they have nothing better to do than breed
1120,the united states of america as we know it was created by white people  historically  immigration was primarily from europe
619,im an american patriot fighting for my nation and constitution and you are shill fighting for amnesty for illegal aliens 
3258,cbn  sweden is on the fast tract to become a 3rd world country swrm via
3466,black man openly fantasizes about slaughtering white girls during race war  video  swrm racist via
4739,fudge your satanic values bubbles
994, you jihad enablers are so filled with hate  it oozes out of your
6124,what do you call an ethiopian with a yeast infection  a quarter pounder with cheese 
4897,gen zyklon is on our side who do you got cat ladies soymales others who thought there would be free fried chicken etc
5026,wheres the line to give blowjobs for citizenship
1425,but the reality is that many of them want the white mans civilization without the white man in it 
4984,those pesky buddhist again
3301,jew run facebook takes down uc berkeley white student union
5433,evangelical groups should be teaching respect for the law illegal immigrants are breaking the law no amnesty of any kind
5151,do the words spoken by these muslims constitute sedition bring back the sedition law britain first
2627,im a white american and i want trump to be king 
380,amna  you hate whites  why do you live in a white country  please repatriate yourself to your country of origin 
5449,wethepeople demand buildthewall wallsandlaws arrest those who harbours and helps criminals its called obstruction of justice 10yr jail
5853,Finally something positive I found of the Ethiopians HIV
4286,why do foolslike dogs travel in packsso when their food runs short they have someting 2 eatexample a aclu
1973,everything worthwhile in a society is white supremacy 
815,i couldnt care less about prehistory  the white race  mine  is the most advanced people ever to walk the earth
4901,nope i mean law enforcement enforcing our laws and not allowing subversive punks any leeway to plunder lawandorder america wiseup
1077,libertarianism has become an ideology that appeals only to white men who hate white men 
6192,is the glass half full or half empty  i really do nt know  because there s different ways to look at it   optimism  the glass is half full   pessimism  the glass is half empty   feminism  the glass is raping me 
5858,Why do police officers never get incarcerated for shooting unarmed black men Because animal cruelty is not punishable by jail time
1315,the southern poverty law center is untrustable antiwhite racist liberal scum  i dont trust them and theyre not honest about anything 
4545,lord hanuman protects hq of government of india these monkeys cant be driven out
482,these daca activists hate the us why legalize them   
3405,yes  we hate terrorists and people who think that that can kill others in the name of islam  you know  sharia  nosharialaw
50, jewish harvard professor wants to abolish the white race  read more  via
579,black male assassinates 5 white men in kansas city posting online kill all whites  is worse than charlottesville
696,where do black people perform at the white or asian level  anywhere 
921,white power  88
374,adolf hitler speaking on economics  nazi whitepower whitepeople ows oo occupy banksters
4941,ill take these guys you fags go find your own country
1215,antiracist activist raped by nonwhite illegal immigrant after antiracism festival  read more  via
2560, rt  white man lynched and robbed by a racist black gang  video 
4676,its very sad dont allow these animals to your country
6147,how many feminists does it take to change a light bulb  feminists ca nt change anything 
1645,israel stopping african immigrants whilist jews open america and european borders
615,i feel like what people are starting to say is true there is going to be a race war and the white race is at risk
4436,moron palestinians have inhabited palestine since time immemorial unlike z invading ashkinazi scum
2752,well  they could let them creep in like the illegals from so  of border 
1103,racist attacks on white dutch people by mobs of muslim immigrants continue  via  anger rising 14w
370, zuckerbergs dream  the jewish ruled antiwhite racist social network 
1853,really wow  i dont hate anyone  its you who hate  you cant bring yourself to say white lives matter
1721,which is why they want race mixing  what they dont realize is that race mixing will lead to white
5324,throw pc out the window  call a spade a spade  mustknow thy enemy
5007,wow face it kids cali is done it may be time to have a sacrificial lamb plan in our back pockets
5797,Those against Christians are aligned with the Jews our mortal enemies We dont need witches and warlocks to win this war And we wont lift a finger to help our enemies Remember that
3541,profiteers  nonsense  there is no money in altright  we fight for freedom  not money 
3886,happy 126th birthday adolf   white racial identity
1376, white apathy toward   white genocide   is pathetic  a great betrayal  it is real so why no government intervention  
2240,three cheers for for daring to stand up for a people who are targeted for the ash heap of history  globalwaronwhites
690,we prefer to be called identitarians  we believe that societies with majority populations that share racial  ethnic  cultural commonality  an identity  are more stable  preferable to ones that are multi
3183,yeah hopefully sweden can b saved  america is a lost cause few white people stand up 
4869,to repeat a quote from 1 of the smartest men i have ever read thomas sowell racisim is like ketchup u can put it on anything
6112,what s the difference between batman and a black man  batman can go to the store without robin 
4472, its better to be an illegal in america then black at least their are free
3814,zuckerbergs dream  the antiwhite racist social network  more  via
4581,civilized world must set aside its differences at least for time being to wipe out the barbarians or else live in permanent fear  terror
3225, i talk alt media  israels role in 911  wwii revisionism  the jewish assault on western civilization
5208,i understand paying for deportation but the appeal unacceptable
2197,pl  dont be guided by ifs lobby  take punitive action against switzerland for not sending back black money
1166,youre a very ignorant black person  i guess youll be happy when trump personally call you an n word
1822,its okay to be fellow white
373,absolute proof jews enemyof white race 
2106,sodomybasedmarriage  racist israel has more public support than white people advocating for basic human rights 
3818,   i was going to save the white race  but then i saw a swastika    
840,jews are white nationalists now  who knew 
3347,texas a  m  projectsiege
2610,funny how most of those categories of whiteness are all more civilized and prosperous than the majority of non white civilizations
1287,no  death is their poison  white man defend your own  join and love your race  they call to you  raise the banners of freedom 
5166,these shits are getting shipped all over world to start nothing but chaos and confusion theyre all going to die or prison
2430,photographer  she looks like antifa to me looking for trouble  also  you need a dictionary to distinguish between a beating and a punch 
5870,Im starving and scared That I might offend Africans because Im culturally appropriating them
715,yet u let terrorist like anjem spit hate at everyone  anyone who doesnt like islam is racist  
3324,no more white submissivism to jewish supremacism 
850,mexicos president is the racist sending the mountain people to us ever seen a tall white skinned mexican jumping the fence
5066,baltimore dont you have enough problems get illegals out  apparently the prosecutors giving this type of advice need to be fired
1335,white people wanting to live is racist 
713,yep  of course  youre racist against your own community if you dont succumb to this line of thinking 
2521, if   black lives matter    why didnt that innocent 9 yr olds life matter when killed by a thug  because black lies matter  
2682,obama sitting in that racist pastor jeremiah wrights church for over 20 years is far worse than scalise speaking at one pro white rally 
5532,no surprise there thenthe only  nasty but necessary  option is to deislamise our societies and d
6041,What do you call a black person with rights Nonexistent
5752,Mainstream Muslims on murder of gays httpsyoutubeAkXfs8VDu2Q
2579,another antiwhite hate crime by a muslim 
3206, name one of these thriving black communities that black people   built    
1008,america cannot be a country that is for white interests with nonwhites here  logical
4546,theyll sell the country over anal sex total degenerate pigs
5484,no more jobs for illegals
3410,youre delusional  firstly race determines culture  secondly race relations continue to decline due to forcing diversity on the white west 
3824, rt    the first slave owner in america was a black man  read more  via   not white   
5608,its illegal go get a dictionary and see the meaning if you cant speak english get a spanish one
6271,Go back to China
5977,Japanese people are bad pilots They always crash into ships
354,  politics better because my family is swedish and german  my   homelands   are being raped due to communist traitors and moral weakness  yes  
825,im well past the point of no longer considering these people human 
3597,white identity  racial consciousness in the 21st centuryjared taylorsupport and buy through them 
2734,those programs are guaranteed to fail because of changing demographics  more nonwhites  more elderly whites
3609,yes  and give it to the white deserving poor 
2390,im white thank god
1979,good  man id hate to be a native born white in any of those cities 
859,now their consumed with wildfire maybe the illegals will help put it out 
5755,The message is loud and clear in all white countries these goyim need to shut their filthy mouths lay down and die as we replace them with brown people  Andrew Anglin
43,ukraine ukrainian thanks brothers  white pride worldwide  wpww 14words 
6324,Its easy for them to multiply because their African genes are so incredibly pronounced 
5910,Black people are nothing like monkeys because at least monkeys are well behaved
507,whites are the kulaks  christians of communism 20  if we kill em  well be rich etc 
1052,i am already national socialist and we need to rebuild our movement against zionism in the world  to free the white race 
2080,    the future of europe belongs to you  white man  via    so few  
4568,only trump will drain this swamp
455,nothing wrong if their black  its when they hate white america   most of black america gets no help  marxist 
2291, rt   day of judgement wont come until muslims fight the jews  there is a jew behind me come and kill him    hadith book 41 
1172,   we must secure the existence of our race and a future for white children   
216, whoda thunk it  rt  heres a new one    obama is a jew   via tcot tlot wethepeople becktips 
1653,jews crown miss holocaust survivor in morbid beauty pageant withjewswelose
3701,final  white lives matter event page via
547, knockout king in pittsburgh  another antiwhite racist attacks in obamas america  video  via 
5072,time to end sanctuary cities joe manchin stop haboring illegal immigrants obey laws of united states of america secure borders maga
1921, of course the   holocaust   didnt happen  its a false  antigerman propaganda campaign  
660,pls dont deliberately mislabel jared as a white supremacist  race realism   white supremacism 
2417,muslims voting against hindu candidates in india is regarded as secular  hindus voting for hindu candidates considered communal 
2768,white people are going to fight back  we have every right to resist our own genocide 
6232,Your mom is Brazilian isnt she Maybe she could come to the school sometime for gym and teach the class how to dance samba
2699,schools in germany order girls to cover up to avoid being attacked by muslim invaders via
4385,no ivory coast was thriving under france it collapsed without whites
3083,i can go for no wall whatsoever just have armed military stationed along the border and shoot on sight
5199,stop deporting and make them pay the penalty only deport the one who have not committed any additional crimes or have served their sentence
3478,dont forget that in addition to being white makes you a racist were supposed to feel guilty abt what monsters we r  how easy weve had it
4110,resisting decay  annihilation of white race
2801, rt turns out there are no   safe spaces   in merkel germany  all filled with invaders  
4302,i thought whites were destroying the planet by using these evil resourcesmake up your mind
513,yo  cmon back you little illegal aliens  we still got lots of usborn suckers we can smash out of line to make room
1097,orban  hungary is a refuge for white europeans via
116,music against the  holocaust  hoax   music can probably be a good weapon to amass awareness against lies  ther 
4788,bit late nowand hes supposed to be clever
362,7  altright defeatest in nature   im a member   trumps winning drove our winning enthusiasm  but too
3143,the last bastion of the white race  90  of young finnish people oppose more nonwhite immigration via
5585,he should be punished with a tiny tiny piece of metalbarely measuring 9mm
4578,is britain ready for a lunatic muslim 
5980,If a woman is in a forest and there is no one around to hear her Is she still wrong
4076,he wasnt black  he was    a fellow white person   
1813,i work in healthcare and all our overdoses are white people  media cant exploit the deaths of white people  theyre using the minority pop 
1241,excellent  we need our own adl yo track antiwhite hate  then an aipac to pool funds to give to smaller orgs for white scholarships etc 
6087,LOL EDGY ein_schoner_tag shedevil___ ahptik im not sexist but why are women allowed opinions lol
3232, david duke  the racial murder and rape of white women in america of whites  victims of nonwhite crime 
1865,the man who loved his people  and who was loved dearly by them in return  dont believe the lies against him  hitler
